index,Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,Final Sweep ?,MVP Name,MVP Height (m),MVP Height (ft),MVP Position,MVP Team,MVP Nationality,MVP status,First_Name,Surname
53,2003,San Antonio Spurs,New Jersey Nets,4–2,San Antonio Spurs,New Jersey Nets,False,T. Duncan,2.11,6.922572,Forward,San Antonio Spurs,US,Champion,T.,Duncan
54,2004,Los Angeles Lakers,Detroit Pistons,1–4,Detroit Pistons,Los Angeles Lakers,False,K. Garnett,2.11,6.922572,Forward,Minnesota Timberwolves,US,Not reached Final,K.,Garnett
55,2005,San Antonio Spurs,Detroit Pistons,4–3,San Antonio Spurs,Detroit Pistons,False,S. Nash,1.91,6.266404,Guard,Phoenix Suns,Canada,Not reached Final,S.,Nash
56,2006,Dallas Mavericks,Miami Heat,2–4,Miami Heat,Dallas Mavericks,False,S. Nash,1.91,6.266404,Guard,Phoenix Suns,Canada,Not reached Final,S.,Nash
57,2007,San Antonio Spurs,Cleveland Cavaliers,4–0,San Antonio Spurs,Cleveland Cavaliers,True,D. Nowitzki,2.13,6.988189,Forward,Dallas Mavericks,Germany,Not reached Final,D.,Nowitzki
58,2008,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,K. Bryant,1.98,6.496063,Guard,Los Angeles Lakers,US,Vice-Champion,K.,Bryant
59,2009,Los Angeles Lakers,Orlando Magic,4–1,Los Angeles Lakers,Orlando Magic,False,L. James,2.03,6.660105,Forward,Cleveland Cavaliers,US,Not reached Final,L.,James
60,2010,Los Angeles Lakers,Boston Celtics,4–3,Los Angeles Lakers,Boston Celtics,False,L. James,2.03,6.660105,Forward,Cleveland Cavaliers,US,Not reached Final,L.,James
61,2011,Dallas Mavericks,Miami Heat,4–2,Dallas Mavericks,Miami Heat,False,D. Rose,1.91,6.266404,Guard,Chicago Bulls,US,Not reached Final,D.,Rose
62,2012,Oklahoma City Thunder,Miami Heat,1–4,Miami Heat,Oklahoma City Thunder,False,L. James,2.03,6.660105,Forward,Miami Heat,US,Champion,L.,James
63,2013,San Antonio Spurs,Miami Heat,3–4,Miami Heat,San Antonio Spurs,False,L. James,2.03,6.660105,Forward,Miami Heat,US,Champion,L.,James
64,2014,San Antonio Spurs,Miami Heat,4–1,San Antonio Spurs,Miami Heat,False,K. Durant,2.06,6.75853,Forward,Oklahoma City Thunder,US,Not reached Final,K.,Durant
65,2015,Golden State Warriors,Cleveland Cavaliers,4–2,Golden State Warriors,Cleveland Cavaliers,False,S. Curry,1.91,6.266404,Guard,Golden State Warriors,US,Champion,S.,Curry
66,2016,Golden State Warriors,Cleveland Cavaliers,4–3,Cleveland Cavaliers,Golden State Warriors,False,S. Curry,1.91,6.266404,Guard,Golden State Warriors,US,Vice-Champion,S.,Curry
67,2017,Golden State Warriors,Cleveland Cavaliers,4-2,Golden State Warriors,Cleveland Cavaliers,False,R. Westbrook,1.91,6.266404,Guard,Oklahoma City Thunder,US,Not reached Final,R.,Westbrook
68,2018,Golden State Warriors,Cleveland Cavaliers,4-0,Golden State Warriors,Cleveland Cavaliers,True,J. Harden,1.96,6.5,Guard,Houston Rockets,US,Not reached Final,J.,Harden
